ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
19144,140000,2,2,2,31,0,0,0,0,0,0,137326,138119,137950,140254,139679,141748,6400,6600,6500,5100,5300,6000,0
17658,80000,2,2,1,40,0,0,0,0,0,0,37123,38317,20896,21604,22035,22496,2072,1651,1359,790,817,821,0
9386,10000,2,3,1,42,2,0,0,0,0,0,8965,8640,9412,9604,9800,0,1228,1000,192,196,0,8138,1
25391,220000,2,2,2,29,0,0,2,0,0,0,43596,45765,41308,39770,31840,33173,6000,2,3006,2000,2000,1500,0
1697,20000,1,2,1,35,1,2,2,0,0,0,19755,19661,20018,20427,19377,19386,1000,1000,1000,1500,900,1000,1
21575,150000,2,3,2,23,0,0,0,0,0,0,11329,10775,11829,7031,7172,5833,1219,1273,1069,1683,202,299,0
9293,140000,2,2,1,30,0,0,2,4,3,2,106298,111040,122612,120270,118091,122963,6451,15000,1100,0,7000,0,1
1721,250000,2,1,2,36,0,0,0,0,0,0,130360,133799,137119,141367,133174,136481,5000,5000,5847,5000,5000,5018,0
3500,260000,2,2,1,34,-2,-2,-2,-2,-2,-2,8214,2149,3065,750,0,0,2151,3065,750,0,0,377,1
24673,20000,1,2,2,43,0,0,2,0,0,0,13817,15398,15852,16862,17197,17558,1815,1000,1279,614,637,2350,1
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0
6948,150000,1,3,1,64,0,0,0,0,0,0,56852,58031,59202,60304,61650,0,2688,2730,2680,2850,0,0,0
27790,30000,2,1,2,25,0,0,0,0,0,0,27396,27994,28631,28935,28954,29155,1753,1786,1486,1170,1200,1205,0
25177,50000,2,2,2,22,2,2,2,2,0,0,50583,50974,51688,50024,29381,28957,2300,3000,0,800,808,1200,0
10165,120000,2,3,2,50,0,-1,0,0,0,0,149540,118675,120047,100637,79613,79286,125000,4065,4000,3000,3000,3000,1
6739,360000,1,1,1,32,1,-2,-2,-2,-2,-2,0,0,0,0,-5,-5,0,0,0,0,0,0,1
21470,30000,2,2,1,28,-2,-2,-2,-2,-2,-2,435,0,0,295,-5,-5,0,0,295,5,0,0,0
3315,600000,1,1,2,36,-2,-2,-2,-2,-2,-2,-1,-1,1095,899,598,-2,0,1096,4,601,0,492,0
2694,100000,2,2,1,22,0,0,0,0,0,0,99415,101507,99511,99813,95816,96884,4600,3478,3461,3461,3684,3510,0
11379,180000,1,2,2,25,0,0,0,0,0,-1,4236,5230,6570,7192,6437,12499,2001,2000,1018,6154,12527,5016,0
26638,50000,1,1,2,24,0,0,0,0,0,0,20472,19077,20094,19559,16795,17233,1700,1641,1600,600,1000,1300,0
12651,500000,2,1,1,38,0,0,0,0,0,0,105587,105478,100026,86265,67539,53676,3627,3059,2670,2331,2406,1645,0
24036,210000,1,2,2,27,1,-1,2,0,0,-2,0,628,232,1067,-27,-27,628,0,1000,0,0,0,0
7780,30000,2,1,2,24,-1,-1,-1,-1,-1,-1,3055,18392,640,0,2583,4653,18407,640,0,2583,4653,2583,0
18669,50000,2,2,2,26,0,0,0,0,0,0,8056,5997,5602,6478,5453,2261,1500,1500,1011,1000,1000,1000,1
23386,300000,2,1,2,40,-1,3,2,2,2,2,5130,4903,4679,6596,6344,9067,0,0,2000,0,3000,0,1
7090,230000,2,1,2,28,0,0,0,0,0,0,95956,87294,85336,81640,82462,80964,4231,4061,2846,2800,2909,2601,1
18354,80000,2,2,2,23,0,0,0,0,0,0,43275,42504,42471,43302,40516,43487,1700,1800,1600,1500,3500,2000,0
9473,440000,2,2,2,25,2,2,0,0,0,0,225416,220405,226731,231456,237707,243555,0,10000,10000,10000,10000,10000,1
29478,50000,1,2,2,37,3,2,3,2,2,2,21153,23507,22838,20411,16016,15242,3000,0,57,2000,0,1000,1
6889,80000,1,2,2,23,0,-1,2,-1,-1,-2,25992,904,68,232,-604,-440,1000,0,1000,0,1000,0,0
6746,310000,2,2,2,26,0,0,0,0,0,0,40604,42926,44209,45472,46739,47895,3000,2000,2000,2000,2000,1000,0
29296,120000,1,2,2,26,2,2,2,2,0,0,109110,105891,113662,110349,112036,114584,0,11000,0,5000,4332,9404,0
21828,230000,2,1,2,26,-2,-1,-1,0,0,0,865,221,16601,17833,15708,10013,221,16601,1513,1000,350,500,0
26663,30000,1,1,2,24,0,0,0,0,0,0,14857,16302,17333,18735,18952,19195,2000,1598,2000,825,698,701,0
6584,200000,2,2,2,27,-1,-1,2,0,0,-1,184,2250,823,823,-658,1266,2250,0,0,0,1924,0,1
22598,500000,2,2,1,45,1,-1,-1,-1,-2,-2,0,1376,3719,-200,-200,-200,1376,3723,1319,0,0,0,1
566,250000,2,3,2,35,-2,-2,-2,-2,-2,-2,7244,8472,1738,6706,2391,11082,8514,1751,6739,2403,11137,13407,0
13275,50000,2,2,2,23,0,0,0,0,0,0,34997,36030,36740,37469,38254,39014,1900,1610,1339,1387,1395,1452,1
15870,200000,2,1,2,28,0,0,0,0,0,0,105051,99648,144932,134530,129395,124561,32000,60000,6305,4300,4500,4500,0
25906,30000,2,2,1,35,0,0,0,0,0,0,25485,26503,27486,25663,26979,24306,1447,1430,1684,2000,892,2000,0
8474,250000,2,1,2,35,1,2,0,0,0,0,45429,34800,31217,25231,17009,4553,0,1443,560,4875,400,0,0
16480,20000,2,3,1,56,1,2,0,0,2,2,11276,10803,11528,13524,13508,13149,0,1204,2200,500,0,700,1
23294,100000,2,2,2,31,-2,-2,-2,-2,-2,-2,4576,1872,2511,3333,2765,900,1872,2517,3339,2765,900,2575,1
29818,50000,1,2,2,40,2,0,0,2,0,0,11058,12479,13876,13444,13367,13282,2000,2000,1000,1000,1000,2000,1
18136,10000,1,3,2,46,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1
27883,200000,2,1,2,28,0,0,0,0,0,0,7484,8273,13249,22319,17279,9853,2000,13000,10000,5000,5000,4000,0
12982,500000,2,1,2,51,-1,-1,-1,-1,-1,-1,187,369,535,-13,20807,20897,370,537,0,20911,21001,88,0
19746,50000,2,3,2,43,2,-1,-1,-1,-1,-1,344,5036,1780,5808,390,780,5128,1780,5808,390,780,0,0
2408,420000,1,2,2,31,2,2,0,0,2,0,239293,90568,88997,93971,92203,93059,0,3500,6600,0,4000,3000,1
25610,190000,2,1,2,28,-2,-2,-2,-2,-2,-2,0,2278,918,859,1300,514,2278,918,864,1300,514,175,0
5826,50000,1,3,1,50,2,0,0,0,0,0,48607,49540,49583,19695,20004,19904,2100,1500,1000,1000,1000,700,0
7719,150000,2,2,1,30,1,2,0,0,0,0,36472,33947,35518,30564,21849,25168,0,5035,5000,900,10000,7000,1
21517,60000,2,2,2,26,2,2,2,2,2,2,55892,56685,55208,59175,60218,55447,2300,0,5000,2511,6,3000,0
15532,240000,1,2,1,38,2,2,-1,-1,0,0,7123,6848,836,2508,1672,836,836,836,2508,0,0,563,1
19891,160000,2,2,1,36,-1,-1,-1,-1,-1,-1,2054,1949,2562,8582,2758,0,1950,2562,8582,2758,0,4163,0
5293,50000,1,2,1,47,0,0,0,0,0,0,49032,48764,49521,48830,49728,50146,2599,2556,1665,1600,1800,2000,0
14383,20000,1,3,2,25,0,0,-1,-1,-1,-1,3556,3271,798,798,798,408,1481,798,798,798,408,1188,0
13527,290000,2,2,1,29,2,2,0,0,0,0,63872,62290,63624,64427,62853,63923,0,3000,2406,2431,2433,2434,1
27341,50000,1,1,2,38,0,0,0,0,0,0,50620,47164,48004,49307,19218,19465,3000,3014,6047,1000,2320,3000,0
29234,50000,1,2,2,23,0,0,0,0,0,2,22643,23758,24870,18740,17861,17433,1497,1609,1279,1500,0,637,1
11167,140000,1,1,1,35,1,2,0,0,2,2,91296,88979,97448,105795,103988,110769,0,10000,10000,0,8500,4100,0
18297,20000,2,3,1,31,1,2,0,0,0,0,15903,15350,16438,17250,17601,17982,0,1343,1155,506,538,600,1
22097,260000,2,2,2,29,0,0,0,0,0,0,150709,151527,155081,156138,145251,139784,6911,7514,6756,5176,5200,5700,0
18554,50000,2,1,2,25,0,0,2,0,0,0,40067,43099,42133,43127,44210,45844,4000,0,2000,1800,2500,5500,1
12397,50000,2,2,1,45,-1,-1,0,0,0,0,2618,1969,20771,20231,19485,18280,2007,20275,1204,1001,1003,1210,0
28206,20000,2,3,1,39,0,0,0,0,0,0,19078,19929,16912,12698,11939,12346,1509,1321,1500,500,600,1500,1
9304,500000,1,2,2,32,-2,-2,-2,-2,-2,-2,71731,75357,62407,63706,59452,47868,25487,80389,50132,22208,30167,25036,0
27145,160000,1,5,2,40,0,0,0,0,0,0,152240,152159,154523,156121,118248,119911,7650,6300,4800,3800,4600,4300,0
29152,30000,2,3,1,60,3,2,2,7,7,7,1950,1950,1950,1950,1950,1950,0,0,0,0,0,0,1
20985,360000,1,2,1,33,-1,-1,-1,-1,0,0,15299,44439,22637,101497,68960,28399,44730,22751,101691,2233,6138,16113,0
28926,80000,2,2,1,47,-2,-2,-2,-2,-2,-1,966,0,647,1988,1049,1466,0,647,1990,1049,1466,6309,1
16473,130000,2,3,2,50,-1,-1,-1,-1,0,0,390,52180,206,3265,5661,7026,107767,206,3265,3000,2000,2000,0
16125,80000,2,3,1,40,2,0,0,0,0,0,16413,12171,11554,7830,4305,5427,2160,1500,1218,311,1351,1000,1
157,200000,2,1,2,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0
24669,220000,1,1,2,34,-2,-2,-2,-2,-2,-2,416,416,416,416,416,416,416,832,416,416,416,416,1
27320,340000,1,3,1,43,0,0,2,2,0,0,251135,268949,283400,277335,282890,304280,22000,20251,0,10176,26000,12000,0
23709,240000,2,2,2,59,0,0,0,0,0,0,230026,239796,231230,196471,190004,161867,20000,12000,7000,8000,6000,6205,0
3112,70000,1,3,1,47,0,0,0,0,0,0,67670,62529,59024,26008,28210,18296,2730,2490,1000,5746,2000,143,0
18023,50000,1,2,1,49,0,0,0,0,0,0,33346,33536,34923,37192,39341,27561,2000,3500,3000,3000,5000,5000,1
17192,150000,2,2,1,31,2,0,0,0,0,0,101425,104014,108229,109374,111279,125353,3872,5500,4005,3241,15500,4000,0
3440,320000,1,1,1,50,-2,-2,-2,-2,-2,-2,6426,-4,816,30026,49154,1299,0,824,31144,25664,2610,1833,0
4595,30000,1,1,1,32,0,0,2,0,0,0,28401,31065,30031,29838,29651,1567,3434,0,597,593,31,0,1
29779,300000,1,1,2,32,2,0,0,0,0,0,255299,255607,258394,261024,260672,263894,9106,11000,11009,10000,10000,10000,1
4778,20000,1,1,2,23,1,-2,-2,-2,-2,-2,-348,-738,-738,-1518,-1518,-1518,0,0,0,0,0,0,1
29214,20000,1,2,2,24,2,2,2,2,0,0,5266,6026,15855,16295,17023,17388,1000,10000,1000,1000,639,2822,1
13197,20000,1,3,2,52,2,0,0,0,0,0,14038,13568,14630,27408,13984,0,1338,1400,274,560,0,0,1
8641,200000,1,1,2,28,-1,-1,-1,0,-1,-1,13383,1183,14714,11938,303,3262,1183,14714,0,303,3262,3635,0
3017,20000,1,1,2,22,0,0,0,0,0,0,18093,18543,18911,19000,19397,19941,1300,1611,700,704,867,597,0
14299,30000,2,2,1,37,0,0,0,2,2,2,26168,27442,30165,29383,32739,33143,2000,3500,0,4000,1150,1000,0
10659,50000,2,3,2,43,-1,-1,-1,-2,-2,-2,150,809,-60,-210,-360,-510,809,0,0,0,0,0,0
5449,50000,1,1,2,49,0,0,0,0,0,0,47754,48648,8868,9044,9234,9418,2280,1500,323,335,337,500,0
11719,20000,1,1,2,24,1,-2,-2,-2,-2,-1,0,0,0,0,0,1273,0,0,0,0,1273,0,1
19417,270000,2,1,1,45,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
14495,150000,1,1,2,40,0,0,0,0,0,0,152175,148872,145978,139791,142745,146872,5800,5245,5200,5200,6500,7200,0
15258,360000,2,3,2,27,-2,-2,-2,-2,-2,-1,0,750,-2,468,-8,2496,750,2,470,0,2504,1153,0
16406,320000,2,2,1,32,0,0,0,-2,-1,0,44312,23132,-2793,-2793,20381,25198,3000,23,0,23381,5000,5000,1
9263,70000,2,2,2,30,0,0,0,0,0,0,3878,4957,6209,6338,6587,6828,1300,1500,380,500,500,800,0
907,50000,1,1,2,30,2,2,2,-1,2,2,4187,5152,3679,596,446,2699,2300,0,700,0,2300,0,1
26731,40000,1,1,2,24,0,0,0,0,0,0,39868,25714,17351,21567,18388,18353,1259,1700,6000,800,800,800,0
16794,220000,1,2,1,37,0,0,0,0,0,0,13429,15688,17922,20111,22261,24392,2500,2500,2500,2500,2500,2500,0
24146,280000,1,1,2,28,-2,-2,-2,-2,-2,-2,10296,1820,0,5970,8628,2036,3543,1195,5970,8628,2306,768,0
26693,200000,1,1,2,27,-1,-1,-1,0,0,0,3592,3622,7990,10392,7042,5692,3622,7990,6000,0,2000,5000,1
27354,280000,1,2,2,38,2,2,2,2,0,0,163675,168581,170775,166749,168739,166757,9000,6000,5,5858,5741,5608,1
16270,340000,2,2,2,47,0,0,0,0,0,0,196112,183453,167592,162628,142779,139548,6446,6207,5758,4853,4940,4600,0
8094,90000,2,1,2,27,0,0,0,0,0,0,14421,18846,22509,24129,24815,27725,5000,4000,2000,1075,3500,3000,1
8933,240000,2,2,2,42,1,2,2,0,0,0,187558,187333,163332,166813,170739,174532,6700,0,6900,6000,6000,6000,1
4751,50000,2,2,1,45,0,0,0,0,0,0,35116,26171,25088,21090,21749,22386,1441,1500,756,1000,1000,829,1
22584,500000,2,1,2,35,0,0,0,0,0,0,113466,116857,116402,95244,68182,60153,12197,15263,4672,0,1296,54,0
8177,230000,1,3,1,45,0,0,0,0,0,0,203135,208225,178559,172772,175057,177113,10000,6528,6000,6500,7000,10000,0
5473,20000,2,3,3,55,1,2,3,2,2,2,18558,20358,19743,19128,20560,20082,2400,0,0,1744,0,600,1
1432,70000,2,2,1,42,2,2,2,2,2,2,50886,51975,52527,53560,54653,55797,2200,2000,2500,2100,2200,2100,1
18599,60000,2,2,2,27,0,0,0,0,0,0,41546,45025,38840,31965,30297,29814,5845,2000,1812,1037,1218,1085,0
26652,10000,1,2,2,24,1,2,2,2,2,2,6496,6246,8965,8672,9525,9228,0,3000,0,1000,0,800,1
2293,80000,2,3,1,43,2,2,3,3,2,3,68152,71459,73690,71908,76294,74788,5000,4000,0,5700,0,0,1
10808,80000,2,3,1,40,0,0,0,-1,0,0,80855,78074,38360,60060,59322,59973,2800,2700,61400,2312,2800,2800,0
17941,70000,1,2,2,44,2,2,2,2,2,2,43314,44325,45375,44350,46996,47951,2025,2051,0,3697,1853,1910,1
4494,360000,1,1,2,31,1,-2,-1,-1,-2,-1,0,0,1650,0,0,1650,0,1650,0,0,1650,0,0
29114,30000,2,2,1,54,0,0,0,0,0,0,38866,29432,33364,30149,27028,29261,2000,4501,2396,4000,3076,1068,1
28864,200000,2,1,2,40,-1,-1,-1,-1,-1,-1,1489,9973,2457,0,948,0,9973,2457,0,948,0,1302,0
12898,20000,2,2,2,22,2,0,0,0,3,2,6643,7872,9077,10989,10529,10213,1500,1500,2225,0,0,202,1
23339,200000,2,2,2,36,1,2,2,2,2,2,73459,76308,78669,75995,79781,81533,4500,4000,0,5500,3000,0,0
12271,150000,1,1,1,42,-1,-1,-1,-1,-1,-1,2716,0,1106,1323,2098,0,0,1106,1323,2098,0,0,0
24970,80000,1,2,2,36,2,2,2,0,0,0,48751,49853,48781,50170,51237,52360,2200,0,2500,2500,2100,2000,1
9324,500000,1,2,1,39,0,0,0,0,0,0,342548,290244,250186,276579,239874,226502,8628,6242,231888,7945,7840,6966,1
7935,180000,2,2,2,28,1,2,-1,-1,-1,0,7445,1706,1600,0,22357,21541,0,1600,0,22357,1500,785,1
9437,140000,2,1,2,28,0,0,0,0,0,0,115743,117357,112527,91802,94114,91201,5000,5000,3600,4000,4000,4000,0
13038,130000,2,1,2,26,-1,-1,-1,-1,-1,-1,3597,4398,3738,1396,13069,1285,4398,3746,1396,13069,1285,1034,1
9601,80000,2,2,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
12643,250000,2,2,2,30,0,0,0,0,0,-1,43694,33357,44167,19806,22231,6852,15284,20087,5093,10000,6876,0,0
